id,name,price,sale_price,style,sales,type,color,date,url
1_000526256_SB13-32564,男裝棉質舒適角扣翻領襯衫,2299.0,1609.0,000526256,8,不顯示,暗紅色,2020-01-08 15:00:52,https://awsresources.baozun.com/aws/96001088/20200106/39B91F2075654E5FF20959BFB92C13E1.jpg
1_000443313_SM14-32277,男裝棉質微彈翻領牛仔衣,2999.0,2099.0,000443313,7,不顯示,做舊牛仔藍,2019-12-11 14:23:46,https://awsresources.baozun.com/aws/96001088/20200323/A615DA2966C797EF8C83B86B4473751D.jpg
1_000844062_FA14-32471,男裝基本款復古水洗彈力修身斜紋棉布褲,1999.0,999.0,000844062,9,不顯示,石板靛藍,2020-03-13 16:55:04,https://awsresources.baozun.com/aws/96001088/20200103/FBC3361B85005142630DB8C9EF4AF1CD.jpg
1_000567863_SP20-41292,男裝Logo棉質刷毛內裡連帽外套,1999.0,999.0,000567863,15,不顯示,綠松藍,2020-03-10 09:58:34,https://awsresources.baozun.com/aws/96001088/20200204/C7796B5AB5174EE8E2BA0772BEC95805.jpg
488108CARLS STONE,男裝Logo長袖套頭連帽休閒上衣,1999.0,999.0,000488108,121,不顯示,灰白色,2020-02-21 17:27:32,https://awsresources.baozun.com/aws/96001088/20200323/E1E1E07392E9B50D55586CFAD53C8156.jpg
1_000567865_H105-11304,男裝棉質毛圈布拉鍊連帽衫,1699.0,799.0,000567865,5,不顯示,海軍藍,2020-02-21 17:27:32,https://awsresources.baozun.com/aws/96001088/20200407/2809A14CEAB637F7C4806676A8BD4C08.jpg
1_000567863_FA14-32486,男裝Logo棉質刷毛內裡連帽外套,1999.0,1399.0,000567863,5,不顯示,綠色格紋,2020-03-11 15:46:30,https://awsresources.baozun.com/aws/96001088/20200311/E2B19EB06237DA182DBF9ABC380848A8.jpg
1_000567861_SP20-41304,男裝Logo棉質毛圈布套頭連帽衫,1999.0,999.0,000567861,15,不顯示,紫色,2020-03-10 09:58:34,https://awsresources.baozun.com/aws/96001088/20200204/42121D7442BEE667B72F7E41E98C14AA.jpg
1_000567863_SB13-32294,男童Logo棉質刷毛內裡連帽外套,1999.0,999.0,000567863,33,不顯示,紅色,2020-02-27 11:48:36,https://awsresources.baozun.com/aws/96001088/20200217/CD32278D866A6C62F2F7C3EE1493184C.jpg
1_000567872_FA14-32631,男裝Logo棉質毛圈布套頭休閒上衣,1699.0,849.0,000567872,12,不顯示,麻灰色,2020-02-21 17:27:32,https://awsresources.baozun.com/aws/96001088/20200410/9133FBB6DDE8AA1F6392767914C6A3C4.jpg
1_000567863_FA14-32631,男裝Logo棉質刷毛內裡連帽外套,1999.0,999.0,000567863,21,不顯示,麻灰色,2020-03-11 15:46:30,https://awsresources.baozun.com/aws/96001088/20200323/46ABD9E2741D0CC6106E1DD569D6F10F.jpg
1_000567863_H105-11304,男裝Logo棉質刷毛內裡連帽外套,1999.0,999.0,000567863,59,不顯示,織錦海軍藍,2020-03-11 15:46:30,https://awsresources.baozun.com/aws/96001088/20200323/217BC558D5EE038BB5985E8F73F8734E.jpg
1_000567865_FA14-32631,男裝棉質縮口拉鍊連帽外套,1699.0,1189.0,000567865,6,不顯示,麻灰色,2020-04-28 10:23:34,https://awsresources.baozun.com/aws/96001088/20200323/0060466E32D9BB8E31B333792663A643.jpg
1_000567861_FA14-32631,男裝Logo棉質毛圈布套頭連帽衫,1999.0,999.0,000567861,31,不顯示,麻灰色,2020-02-21 17:27:32,https://awsresources.baozun.com/aws/96001088/20200407/EFDC898C90B58A86C7AE7928A32F7E0D.jpg
490384B10 GREY HEATHER,男裝Logo簡約純色連帽休閒外套,1999.0,999.0,000490384,208,不顯示,麻灰色,2020-05-18 10:37:36,https://awsresources.baozun.com/aws/96001088/20200323/C6A9B760BA6213B3C05F644DA6739886.jpg
1_000567865_FA11-07290,男裝棉質毛圈布拉鍊連帽衫,1699.0,1189.0,000567865,7,不顯示,純正黑色,2020-03-11 15:46:30,https://awsresources.baozun.com/aws/96001088/20200217/101DAF12DB3B3AABC89CAFAFE1A7A180.jpg
1_000567872_M114-33829,男裝Logo棉質毛圈布套頭休閒上衣,1699.0,1189.0,000567872,23,不顯示,淺藍色,2020-03-11 15:46:30,https://awsresources.baozun.com/aws/96001088/20200206/A932FD3DDBF0AB5D4A6348B5BB434F6C.jpg
1_000528205_SB13-32294,男裝活力亮沙拉鍊開襟連帽衫,2699.0,1889.0,000528205,8,不顯示,紅色,2020-02-21 17:27:33,https://awsresources.baozun.com/aws/96001088/20200224/226F5FD50F42E515F1391D0D6FEDD28E.jpg
1_000567861_H105-11304,男裝Logo棉質連帽休閒上衣,1999.0,999.0,000567861,18,不顯示,海軍藍,2020-03-17 16:02:10,https://awsresources.baozun.com/aws/96001088/20200323/C1E3410AABCCBE4753834B73901A2830.jpg
1_000567872_H105-11304,男裝Logo棉質縮口休閒上衣,1699.0,849.0,000567872,36,不顯示,海軍藍,2020-05-26 11:40:55,https://awsresources.baozun.com/aws/96001088/20200217/40ABF1E5FFC2EA2111683C10CE8C7684.jpg
1_000567861_H108-10187,男裝Logo棉質毛圈布套頭連帽衫,1999.0,999.0,000567861,24,不顯示,玫紅色,2020-02-21 17:27:33,https://awsresources.baozun.com/aws/96001088/20200204/BDAE5E69BCCE647D5A5A200E13DFCAF5.jpg
488108TRUE BLACK V2 2,男裝Logo長袖套頭連帽休閒上衣,1999.0,999.0,000488108,149,不顯示,純正黑,2020-02-21 17:27:33,https://awsresources.baozun.com/aws/96001088/20190923/4A5F72B5A7DAA3D37EDAE78712E41BE7.jpg
1_000528205_F108-03389,男裝活力亮沙拉鍊開襟連帽衫,2699.0,1889.0,000528205,7,不顯示,海軍藍,2020-02-21 17:27:33,https://awsresources.baozun.com/aws/96001088/20200224/96A3C77A3DF4F1EF9476445E59E5F15B.jpg
490384TAPESTRY NAVY,男裝Logo簡約純色連帽休閒外套,1999.0,999.0,000490384,178,不顯示,海軍藍,2020-05-18 10:37:36,https://awsresources.baozun.com/aws/96001088/20190816/517904D2A1658116DEB7D4B6327ED5FB.jpg
490384TRUE BLACK V2 2,男裝Logo簡約純色連帽休閒外套,1999.0,999.0,000490384,140,不顯示,純正黑,2020-05-18 10:37:36,https://awsresources.baozun.com/aws/96001088/20190816/BD0DC4B1ECEE86EDDFCCAAF5B06B1D25.jpg
1_000567861_FA11-07290,男裝Logo棉質毛圈布套頭連帽衫,1999.0,999.0,000567861,25,不顯示,純正黑色,2020-02-21 17:27:34,https://awsresources.baozun.com/aws/96001088/20200410/2F1CBB3EEF336648F0BCFBE8E5DED244.jpg
488109TAPESTRY NAVY,男裝Logo拉鍊長袖連帽休閒上衣,1999.0,999.0,000488109,183,不顯示,海軍藍,2020-02-21 17:27:34,https://awsresources.baozun.com/aws/96001088/20190831/19F3DB39672FB2CB1874FA52593E2BAA.jpg
